City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.11,few clouds,3.0707,172.7902,Isles Sunset Lodge
7,Katsuura,JP,77.4,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
13,Matara,LK,81.63,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
15,San Patricio,US,84.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
25,Kahului,US,80.62,broken clouds,20.8947,-156.47,Maui Seaside Hotel
26,Tual,ID,80.74,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
28,Pathein,MM,79.45,light rain,16.7833,94.7333,Pathein Hotel
30,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
32,Atuona,PF,77.68,scattered clouds,-9.8,-139.0333,Villa Enata
33,Abeche,TD,75.74,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
41,Richmond,US,77.14,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
46,Odweyne,SO,75.4,clear sky,9.4092,45.064,Eng Hiirey House
51,Ugoofaaru,MV,81.0,overcast clouds,5.6667,73.0,Ungoofaaru Inn
55,Mitsamiouli,KM,75.43,light rain,-11.3847,43.2844,Foyer ADM
57,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
58,Karaman,TR,80.17,clear sky,37.0833,33.25,Gokce Koyu Muhtarligi
64,Bengkulu,ID,83.34,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
75,Manado,ID,83.17,scattered clouds,1.487,124.8455,Aryaduta Hotel
81,Samarai,PG,80.98,light rain,-10.6167,150.6667,Nuli Sapi
82,Vaini,TO,75.22,overcast clouds,-21.2,-175.2,Keleti Beach Resort
87,Gornoye Loo,RU,80.38,scattered clouds,43.7129,39.6049,«ВатерЛоо» гостиница
90,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
92,Salalah,OM,80.94,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
93,Palauig,PH,81.01,overcast clouds,15.435,119.9045,Villa Raphael Resort
94,Victoria,HK,80.65,moderate rain,22.2855,114.1577,Mini Central
95,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
97,Hirara,JP,80.87,heavy intensity shower rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
98,Nacozari,MX,83.05,overcast clouds,25.3366,-108.2574,El Llano
99,Alofi,NU,76.59,overcast clouds,-19.0595,-169.9187,Taloa Heights
100,Kavieng,PG,83.25,light rain,-2.5744,150.7967,Nusa Island Retreat
104,Alugan,PH,80.35,overcast clouds,12.2188,125.4808,JM Lodge
106,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
107,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
109,Chingirlau,KZ,80.26,clear sky,51.095,54.0814,Хостыл Аққу
114,Eyl,SO,84.54,broken clouds,7.9803,49.8164,Amiin Hotel
121,Banda Aceh,ID,86.11,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
122,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
124,Qujing,CN,76.55,scattered clouds,25.4833,103.7833,Yulong Hotel
125,Suluova,TR,75.06,broken clouds,40.8313,35.6479,GÜN APART
132,Lorengau,PG,84.33,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
137,Prabumulih,ID,81.57,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
138,Saint-Paul,RE,77.36,overcast clouds,-21.0096,55.2707,Boucan Canot
139,Mareeba,AU,84.43,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
141,North Platte,US,79.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
143,Luganville,VU,80.33,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
150,Laguna,US,81.18,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
154,Dicabisagan,PH,80.89,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
158,Kutum,SD,75.42,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
163,Iralaya,HN,77.18,overcast clouds,15.0,-83.2333,Iglesia morava renovada
170,Hithadhoo,MV,81.16,overcast clouds,-0.6,73.0833,Scoop Guest House
171,Labuhan,ID,86.68,clear sky,-6.8844,112.2051,DoubleFAG
172,Blythe,US,86.61,scattered clouds,33.6103,-114.5964,Rodeway Inn & Suites
177,Pundaguitan,PH,79.88,light rain,6.3711,126.1689,Leonardo Family Beach House 1
181,Ryotsu,JP,82.11,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
182,Toyooka,JP,88.34,broken clouds,35.5333,134.8333,O Hotel Toyooka
186,Alim,PH,82.35,light rain,9.5649,122.4876,Eden Island Resort and Spa
191,Sibolga,ID,84.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
192,Saint-Pierre,RE,76.91,clear sky,-21.3393,55.4781,Alize Plage
193,Sainte-Marie,RE,77.41,scattered clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
194,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
195,Cabo San Lucas,MX,86.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
203,Nuzvid,IN,85.05,overcast clouds,16.7833,80.85,HI-TECH LODGE
206,Sarana,RU,76.53,clear sky,56.4773,57.7259,Sarana Dom Otdykha
207,Motril,ES,78.26,clear sky,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
212,Mackay,AU,81.68,clear sky,-21.15,149.2,International Lodge Motel
216,Saint-Georges,GD,78.78,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
218,Uray,RU,78.93,scattered clouds,60.1247,64.7758,Hotel Pioner
219,Karczew,PL,77.27,clear sky,52.0766,21.2496,Z-Hotel Business & Spa
221,Huanren,CN,82.51,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
222,Atar,MR,80.31,clear sky,20.5169,-13.0499,Oumou Elghoura
224,Derzhavinsk,KZ,77.22,clear sky,51.1,66.3167,Ooo.khim Baza
225,Saint-Leu,RE,76.32,light rain,-21.15,55.2833,La Caz Oceane
226,Hovd,MN,76.91,overcast clouds,48.0056,91.6419,Hotel Khovd
230,Hirado,JP,83.71,clear sky,33.3597,129.5531,Samson Hotel
233,Tabuk,PH,85.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
235,Sovetskiy,RU,78.3,broken clouds,61.3614,63.5842,Apartment on Kievskaya 29
236,Salawagan,PH,82.13,broken clouds,7.7053,125.115,Violeta B. Cardona
237,La Palma,US,78.82,scattered clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
238,Kirakira,SB,82.94,scattered clouds,-10.4544,161.9205,SanBiz Lodge
239,Ewa Beach,US,80.55,scattered clouds,21.3156,-158.0072,Base Lodging
242,Tura,IN,86.4,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
243,Rayadrug,IN,82.54,overcast clouds,14.7,76.8667,Suresh Naik plot
244,Oktyabrskiy,RU,77.29,few clouds,54.4815,53.471,Гостиница Октябрьская
245,Acapulco,MX,79.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
246,Oussouye,SN,77.22,moderate rain,12.485,-16.5469,Auberge du Routard
249,Careiro Da Varzea,BR,79.41,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
252,Chikhli,IN,81.16,overcast clouds,20.35,76.25,HOTEL GULMOHAR
253,Bethel,US,77.76,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
254,Sheopur,IN,83.59,overcast clouds,25.6667,76.7,Shri Ram Dharmshala
257,Cairns,AU,89.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
259,Linxia,CN,85.23,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
