City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.11,72,20,9.62,few clouds
1,Berlevag,NO,70.8578,29.0864,62.6,67,0,5.75,clear sky
2,Hualmay,PE,-11.0964,-77.6139,61.27,84,71,6.85,broken clouds
3,Richards Bay,ZA,-28.783,32.0377,66.02,77,16,5.82,few clouds
4,Barrow,US,71.2906,-156.7887,48.22,87,100,13.8,light rain
5,Upernavik,GL,72.7868,-56.1549,42.58,96,100,14.27,light rain
6,Hobart,AU,-42.8794,147.3294,53.46,77,75,9.22,light rain
7,Katsuura,JP,35.1333,140.3,77.4,76,98,15.86,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,35.89,97,99,1.25,overcast clouds
9,North Bend,US,43.4065,-124.2243,58.91,94,0,8.05,clear sky
10,Hermanus,ZA,-34.4187,19.2345,53.44,79,21,9.37,few clouds
11,Faya,SA,18.3851,42.4509,68.52,71,100,1.34,overcast clouds
12,Tuktoyaktuk,CA,69.4541,-133.0374,59.9,63,100,11.52,overcast clouds
13,Matara,LK,5.9485,80.5353,81.63,80,99,15.48,overcast clouds
14,Khalilabad,IN,26.775,83.0736,93.9,52,18,6.15,few clouds
15,San Patricio,US,28.017,-97.5169,84.88,81,6,11.3,clear sky
16,Castro,BR,-24.7911,-50.0119,60.69,75,99,8.05,overcast clouds
17,Mataura,NZ,-46.1927,168.8643,57.47,73,100,5.84,light rain
18,Qaanaaq,GL,77.484,-69.3632,39.52,58,0,5.32,clear sky
19,Ibra,OM,22.6906,58.5334,92.73,42,60,1.77,broken clouds
20,Busselton,AU,-33.65,115.3333,57.18,63,100,6.4,overcast clouds
21,Punta Arenas,CL,-53.15,-70.9167,39.11,86,100,6.02,overcast clouds
22,Saint-Philippe,RE,-21.3585,55.7679,74.79,65,25,12.26,scattered clouds
23,Aitape,PG,-3.1374,142.3475,81.88,79,99,3.98,overcast clouds
24,Jamestown,US,42.097,-79.2353,73.02,75,40,6.91,light rain
25,Kahului,US,20.8947,-156.47,80.62,78,75,9.22,broken clouds
26,Tual,ID,-5.6667,132.75,80.74,77,100,8.3,overcast clouds
27,Coihaique,CL,-45.5752,-72.0662,29.01,97,69,4.52,broken clouds
28,Pathein,MM,16.7833,94.7333,79.45,90,99,12.03,light rain
29,Rikitea,PF,-23.1203,-134.9692,70.77,70,98,22.73,overcast clouds
30,Road Town,VG,18.4167,-64.6167,82.49,72,98,22.77,overcast clouds
31,Norman Wells,CA,65.282,-126.8329,60.51,66,24,6.02,few clouds
