City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Longyearbyen,SJ,2022-08-02 05:11:36,78.2186,15.6401,49.84,87,75,5.75
1,Awbari,LY,2022-08-02 05:11:37,26.5921,12.7805,80.73,23,0,4.0
2,Great Yarmouth,GB,2022-08-02 05:11:37,52.6083,1.7305,68.25,63,100,12.57
3,Port Alfred,ZA,2022-08-02 05:11:38,-33.5906,26.891,55.17,60,48,7.27
4,Cape Town,ZA,2022-08-02 05:09:04,-33.9258,18.4232,53.38,77,0,8.01
5,Butaritari,KI,2022-08-02 05:11:38,3.0707,172.7902,82.09,73,89,19.98
6,Qaanaaq,GL,2022-08-02 05:11:39,77.484,-69.3632,42.26,65,38,5.97
7,Tiksi,RU,2022-08-02 05:11:39,71.6872,128.8694,44.2,83,98,6.4
8,Labuhan,ID,2022-08-02 05:11:39,-6.8844,112.2051,87.4,61,79,10.69
9,Tuktoyaktuk,CA,2022-08-02 05:11:40,69.4541,-133.0374,47.52,81,100,12.68
10,Teya,RU,2022-08-02 05:11:40,60.3778,92.6267,53.24,87,100,3.96
11,Punta Arenas,CL,2022-08-02 05:11:41,-53.15,-70.9167,46.11,65,75,12.66
12,Emmett,US,2022-08-02 05:11:41,43.8735,-116.4993,91.29,27,100,16.33
13,Rikitea,PF,2022-08-02 05:11:42,-23.1203,-134.9692,73.27,74,24,24.7
14,Berdigestyakh,RU,2022-08-02 05:11:42,62.0989,126.6992,68.76,83,100,4.41
15,College,US,2022-08-02 05:11:43,64.8569,-147.8028,61.29,88,75,5.75
16,Yingkou,CN,2022-08-02 05:11:43,40.6648,122.2283,85.15,75,20,7.7
17,Naron,ES,2022-08-02 05:11:44,43.5167,-8.1528,65.25,94,12,6.96
18,Mataura,NZ,2022-08-02 05:11:44,-46.1927,168.8643,44.47,75,10,11.43
19,Aitape,PG,2022-08-02 05:11:44,-3.1374,142.3475,84.13,77,95,8.5
20,Tuatapere,NZ,2022-08-02 05:11:45,-46.1333,167.6833,49.73,89,61,9.75
21,Hermanus,ZA,2022-08-02 05:11:45,-34.4187,19.2345,42.8,64,0,7.65
22,Vaini,TO,2022-08-02 05:11:46,-21.2,-175.2,77.16,100,75,8.05
23,Tautira,PF,2022-08-02 05:11:46,-17.7333,-149.15,76.3,76,15,24.54
24,Kayerkan,RU,2022-08-02 05:11:46,69.3497,87.7602,50.52,76,27,18.21
25,Howell,US,2022-08-02 05:11:47,42.6073,-83.9294,71.78,88,75,3.44
26,Avarua,CK,2022-08-02 05:11:47,-21.2078,-159.775,75.25,60,100,6.91
27,Sao Filipe,CV,2022-08-02 05:11:48,14.8961,-24.4956,75.56,86,61,6.69
28,Hobart,AU,2022-08-02 05:10:38,-42.8794,147.3294,57.06,55,75,11.5
29,Escarcega,MX,2022-08-02 05:11:48,18.6089,-90.7454,74.48,89,98,4.56
30,Chokurdakh,RU,2022-08-02 05:11:49,70.6333,147.9167,57.56,63,92,4.94
31,Adrar,MR,2022-08-02 05:11:49,20.5022,-10.0711,84.43,45,45,16.42
32,Yar-Sale,RU,2022-08-02 05:11:50,66.8333,70.8333,64.78,53,26,3.98
33,Upernavik,GL,2022-08-02 05:11:50,72.7868,-56.1549,45.05,75,100,6.96
34,Lebu,CL,2022-08-02 05:11:51,-37.6167,-73.65,45.1,85,4,12.17
35,Saint-Joseph,RE,2022-08-02 05:11:51,-21.3667,55.6167,71.98,65,0,3.6
36,Barcelona,ES,2022-08-02 05:07:40,41.3888,2.159,82.33,68,20,8.05
37,Norman Wells,CA,2022-08-02 05:11:52,65.282,-126.8329,62.64,56,93,8.43
38,Ribeira Grande,PT,2022-08-02 05:11:53,38.5167,-28.7,73.96,74,3,11.65
39,Puerto Ayora,EC,2022-08-02 05:11:53,-0.7393,-90.3518,69.55,95,72,8.01
40,De-Kastri,RU,2022-08-02 05:11:54,51.4667,140.7833,58.5,97,100,11.18
41,Bida,NG,2022-08-02 05:11:54,9.0833,6.0167,71.94,96,100,2.84
42,Noyabrsk,RU,2022-08-02 05:11:54,63.1994,75.4507,61.75,49,14,16.22
43,Arraial Do Cabo,BR,2022-08-02 05:11:55,-22.9661,-42.0278,70.05,90,7,18.99
44,Katsuura,JP,2022-08-02 05:11:55,35.1333,140.3,87.22,73,100,15.52
45,Ushuaia,AR,2022-08-02 05:09:40,-54.8,-68.3,46.06,61,20,8.05
46,Oga,IT,2022-08-02 05:12:56,46.4631,10.347,53.8,83,95,3.44
47,Provideniya,RU,2022-08-02 05:12:57,64.3833,-173.3,46.51,93,75,8.95
48,Atuona,PF,2022-08-02 05:12:57,-9.8,-139.0333,77.45,73,15,16.06
49,Ossora,RU,2022-08-02 05:12:58,59.2353,163.0719,61.14,74,48,8.3
50,Kamenka,RU,2022-08-02 05:12:58,51.3223,42.7678,73.13,59,31,11.88
51,Lasa,IT,2022-08-02 05:12:59,46.6166,10.7002,58.37,82,97,2.77
52,Albany,US,2022-08-02 05:12:59,42.6001,-73.9662,72.01,81,37,3.98
53,Kapaa,US,2022-08-02 05:13:00,22.0752,-159.319,84.18,76,40,23.02
54,Jamestown,US,2022-08-02 05:12:06,42.097,-79.2353,70.02,75,75,11.5
55,Barrow,US,2022-08-02 05:13:00,71.2906,-156.7887,41.02,87,100,12.66
56,Wiwili,NI,2022-08-02 05:13:01,13.6268,-85.8254,70.9,98,90,4.41
57,Khatanga,RU,2022-08-02 05:13:01,71.9667,102.5,49.98,63,100,9.44
58,Alice Town,BS,2022-08-02 05:13:02,25.7167,-79.3,83.53,74,59,13.56
59,Ancud,CL,2022-08-02 05:13:02,-41.8697,-73.8203,42.22,86,11,3.74
60,Houma,US,2022-08-02 05:13:03,29.5958,-90.7195,77.0,95,0,1.01
61,Brae,GB,2022-08-02 05:13:03,60.3964,-1.353,55.13,97,100,16.84
62,Ponta Do Sol,PT,2022-08-02 05:13:03,32.6667,-17.1,70.0,76,6,6.58
63,Thompson,CA,2022-08-02 05:13:04,55.7435,-97.8558,53.08,57,96,2.62
64,Bambous Virieux,MU,2022-08-02 05:09:09,-20.3428,57.7575,73.22,78,75,2.3
65,Margate,GB,2022-08-02 05:13:05,51.3813,1.3862,64.31,91,100,4.0
66,Torbay,CA,2022-08-02 05:13:05,47.6666,-52.7314,63.88,83,100,6.8
67,Vao,NC,2022-08-02 05:13:05,-22.6667,167.4833,72.63,85,72,15.57
68,Cidreira,BR,2022-08-02 05:13:06,-30.1811,-50.2056,56.05,88,70,2.17
69,Saint-Philippe,RE,2022-08-02 05:13:06,-21.3585,55.7679,72.99,72,0,4.14
70,Kaitangata,NZ,2022-08-02 05:13:07,-46.2817,169.8464,53.73,59,13,11.34
71,Faanui,PF,2022-08-02 05:13:07,-16.4833,-151.75,78.08,73,2,22.37
72,Katangli,RU,2022-08-02 05:13:08,51.7102,143.2326,55.92,96,100,7.63
73,Egvekinot,RU,2022-08-02 05:13:08,66.3167,-179.1667,55.53,53,9,5.79
74,Mar Del Plata,AR,2022-08-02 05:13:08,-38.0023,-57.5575,49.87,78,0,7.0
75,Saint George,US,2022-08-02 05:13:09,37.1041,-113.5841,89.64,41,0,1.01
76,San Patricio,US,2022-08-02 05:13:09,28.017,-97.5169,84.88,75,1,15.26
77,Matara,LK,2022-08-02 05:13:10,5.9485,80.5353,80.69,81,88,18.01
78,De Aar,ZA,2022-08-02 05:13:10,-30.6497,24.0123,49.1,57,45,6.69
79,Baruun-Urt,MN,2022-08-02 05:13:10,46.6806,113.2792,84.54,38,7,1.81
80,Klaksvik,FO,2022-08-02 05:13:11,62.2266,-6.589,50.92,94,100,11.07
81,Batagay,RU,2022-08-02 05:13:11,67.6333,134.6333,54.43,90,100,6.78
82,Ixtapa,MX,2022-08-02 05:12:58,20.7,-105.2,78.22,83,100,11.5
83,Georgetown,MY,2022-08-02 05:11:36,5.4112,100.3354,85.95,74,20,9.22
84,Hilo,US,2022-08-02 05:13:12,19.7297,-155.09,75.27,84,40,3.44
85,Fortuna,US,2022-08-02 05:13:13,40.5982,-124.1573,61.66,86,0,0.0
86,Kibre Mengist,ET,2022-08-02 05:13:13,5.8833,38.9833,57.06,98,100,2.39
87,New Norfolk,AU,2022-08-02 05:13:14,-42.7826,147.0587,56.7,68,55,3.0
88,Bireun,ID,2022-08-02 05:13:14,5.203,96.7009,84.18,63,100,2.77
89,San Cristobal,VE,2022-08-02 05:10:52,7.7669,-72.225,69.98,94,100,3.49
90,Safaga,EG,2022-08-02 05:13:15,26.7292,33.9365,90.09,40,11,12.59
91,Mackay,AU,2022-08-02 05:14:15,-21.15,149.2,76.68,83,98,10.6
92,East London,ZA,2022-08-02 05:10:04,-33.0153,27.9116,55.31,56,28,6.55
93,Airai,TL,2022-08-02 05:11:02,-8.9266,125.4092,76.05,39,69,3.96
94,Namibe,AO,2022-08-02 05:14:16,-15.1961,12.1522,54.37,70,84,6.08
95,Peniche,PT,2022-08-02 05:14:16,39.3558,-9.3811,67.28,96,1,5.37
96,Port Shepstone,ZA,2022-08-02 05:14:17,-30.7414,30.455,56.89,79,55,7.52
97,Castro,BR,2022-08-02 05:14:17,-24.7911,-50.0119,55.9,78,57,1.5
98,Yellowknife,CA,2022-08-02 05:14:18,62.456,-114.3525,64.56,39,48,5.01
99,Ahipara,NZ,2022-08-02 05:14:18,-35.1667,173.1667,56.8,74,99,6.46
100,Fairbanks,US,2022-08-02 05:14:19,64.8378,-147.7164,61.3,90,75,5.75
101,Bairiki,KI,2022-08-02 05:14:19,1.3292,172.9752,84.2,70,20,16.11
102,Kangaatsiaq,GL,2022-08-02 05:14:19,68.3065,-53.4641,42.64,90,100,11.23
103,Tutoia,BR,2022-08-02 05:14:20,-2.7619,-42.2744,77.7,83,9,12.26
104,Moerai,PF,2022-08-02 05:14:20,-22.4333,-151.3333,72.95,65,51,13.8
105,Frankfort,ZA,2022-08-02 05:11:59,-27.2667,28.4833,43.5,97,63,5.41
106,Geraldton,AU,2022-08-02 05:14:21,-28.7667,114.6,64.81,59,75,25.32
107,Iquique,CL,2022-08-02 05:12:10,-20.2208,-70.1431,59.04,81,44,1.28
108,Preeceville,CA,2022-08-02 05:14:22,51.95,-102.6677,55.09,77,13,7.07
109,Port Elizabeth,ZA,2022-08-02 05:14:22,-33.918,25.5701,53.6,57,87,6.11
110,Pevek,RU,2022-08-02 05:14:22,69.7008,170.3133,50.54,61,100,14.32
111,Souillac,MU,2022-08-02 05:14:23,-20.5167,57.5167,71.98,78,75,2.3
112,Manoharpur,IN,2022-08-02 05:14:23,27.3,75.95,86.9,65,27,8.37
113,Sambava,MG,2022-08-02 05:14:24,-14.2667,50.1667,71.26,77,28,12.1
114,Alugan,PH,2022-08-02 05:14:24,12.2188,125.4808,85.06,67,99,5.97
115,Victoria,HK,2022-08-02 05:12:05,22.2855,114.1577,95.05,72,72,5.01
116,Lagoa,PT,2022-08-02 05:14:25,39.05,-27.9833,73.35,74,52,13.33
117,Bredasdorp,ZA,2022-08-02 05:14:25,-34.5322,20.0403,43.88,85,0,2.95
118,Acarau,BR,2022-08-02 05:14:26,-2.8856,-40.12,77.95,81,47,16.26
119,Zalesovo,RU,2022-08-02 05:14:26,53.9939,84.7431,59.7,88,98,7.31
120,Kruisfontein,ZA,2022-08-02 05:14:27,-34.0033,24.7314,50.0,46,88,5.91
121,Bluff,NZ,2022-08-02 05:14:27,-46.6,168.3333,44.8,79,41,22.35
122,Vila Franca Do Campo,PT,2022-08-02 05:14:27,37.7167,-25.4333,66.61,86,17,2.39
123,Sibu,MY,2022-08-02 05:14:28,2.3,111.8167,85.8,65,100,2.15
124,Aklavik,CA,2022-08-02 05:14:28,68.2191,-135.0107,61.59,59,100,9.35
125,Aykhal,RU,2022-08-02 05:14:29,66.0,111.5,47.3,88,100,17.18
126,Mana,GF,2022-08-02 05:14:29,5.6592,-53.7767,75.76,90,75,6.6
127,Statesboro,US,2022-08-02 05:14:29,32.4488,-81.7832,81.48,83,0,0.0
128,Talaya,RU,2022-08-02 05:14:30,61.3833,152.75,70.72,52,57,10.83
129,Juneau,US,2022-08-02 05:14:30,58.3019,-134.4197,58.84,98,100,8.05
